channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,1328,2.29,0.972,True,1976,jardin_botanique,ANQ493,-1.521,1.532,10,1,1,8.58,1.549,18.723,28.327,38.16,-10,-20,-30,9.225,-1.512,1.501,0,single_pore,0,19584,0,222.76,2.74,0,1,10,-175,2,0,0,,,22888,0.0,159,20205,0,0,0,0
2,1,3276,-1.69,1.042,True,2979,jardin_botanique,ANQ493,-0.878,1.541,10,1,1,10.206,1.514,20.968,31.475,41.813,-10,-20,-30,10.144,-0.9,1.533,0,single_pore,0,26578,0,236.25,2.32,0,1,10,-175,2,0,0,,,32833,0.0,0,11538,0,0,0,0
3,1,0,-1.74,0.973,True,2061,jardin_botanique,ANQ493,-1.65,1.414,10,1,1,8.366,1.41,18.122,27.94,37.584,-10,-20,-30,8.652,-1.651,1.42,0,single_pore,0,41552,0,216.33,2.7,0,1,10,-175,2,0,0,,,43613,0.0,73,244,0,0,0,0
4,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
5,1,1991,0.99,1.005,True,3893,jardin_botanique,ANQ493,-2.329,1.379,10,1,1,8.346,1.377,18.775,28.777,38.878,-10,-20,-30,8.662,-2.417,1.381,0,single_pore,0,26527,0,225.55,2.35,0,1,10,-175,2,0,0,,,32411,0.0,0,11180,0,0,0,0
6,1,4056,-0.74,1.006,True,2907,jardin_botanique,ANQ493,-0.65,1.395,10,1,1,9.802,1.385,20.008,30.101,40.12,-10,-20,-30,9.909,-0.78,1.367,0,single_pore,0,8334,0,234.8,2.39,0,1,10,-175,2,0,1456,,,15297,0.0,0,28317,0,0,127,0
7,1,4732,-1.03,0.944,True,7040,jardin_botanique,ANQ493,-0.947,1.377,10,1,1,9.09,1.338,18.948,28.438,37.825,-10,-20,-30,10.093,-0.851,1.353,0,single_pore,0,26137,0,216.45,2.74,0,1,10,-175,2,2034,0,76.09,34.9,39943,0.0,0,4186,0,0,0,0
8,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
9,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
10,1,9131,1.08,0.98,True,6326,jardin_botanique,ANQ493,0.342,1.32,10,1,1,10.553,1.324,20.499,30.247,40.103,-10,-20,-30,10.894,0.319,1.288,0,single_pore,0,17298,0,223.4,2.28,0,1,10,-175,2,5544,0,77.94,37.2,38299,0.0,363,7955,0,0,0,0
11,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
12,1,4682,4.2,0.961,True,8325,jardin_botanique,ANQ493,-1.405,1.476,10,1,1,8.276,1.373,17.971,27.374,37.197,-10,-20,-30,8.617,-1.088,1.405,0,single_pore,0,23244,0,215.24,2.47,0,1,10,-175,2,3653,0,74.28,37.5,39904,0.0,0,4106,0,0,0,0
13,1,3366,0.74,0.988,True,2903,jardin_botanique,ANQ493,-1.871,1.537,10,1,1,8.413,1.515,18.482,28.326,38.244,-10,-20,-30,8.692,-1.869,1.55,0,single_pore,0,38267,0,223.35,2.63,0,1,10,-175,2,0,0,,,44536,0.0,0,722,0,0,0,0
14,1,431,-1.15,1.016,True,1264,jardin_botanique,ANQ493,-0.276,1.514,10,1,1,10.532,1.528,21.031,31.247,41.348,-10,-20,-30,10.721,-0.272,1.515,0,single_pore,0,29215,0,229.89,2.42,0,1,10,-175,2,0,2047,,,30910,0.0,0,10633,0,0,0,0
15,1,0,-1.25,0.88,True,560,jardin_botanique,ANQ493,-1.59,1.374,10,1,1,7.936,1.394,17.173,26.036,34.774,-10,-20,-30,9.537,-1.574,1.384,0,single_pore,0,45595,0,188.94,2.39,0,1,10,-175,2,0,0,,,46155,0.0,0,0,0,0,0,0
16,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
17,1,0,-0.55,0.929,True,856,jardin_botanique,ANQ493,-1.419,1.325,10,1,1,8.314,1.33,17.93,27.246,36.507,-10,-20,-30,9.313,-1.4,1.348,0,single_pore,0,46641,0,205.36,2.23,0,1,10,-175,2,0,0,,,47497,0.0,0,0,0,0,0,0
18,1,0,4.91,1.916,False,0,jardin_botanique,ANQ493,-1.767,1.359,10,0,0,17.638,1.397,36.958,55.877,75.287,-10,-20,-30,9.24,-1.755,1.404,0,unavailable,0,959,0,193.64,4.36,0,1,10,-175,2,0,0,,,959,0.0,0,12444,0,0,30197,0
19,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
20,1,0,-0.68,0.714,True,0,jardin_botanique,ANQ493,-2.494,1.307,10,0,0,6.284,1.305,13.971,21.149,28.259,-10,-20,-30,9.572,-2.505,1.322,0,unavailable,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,33370,0,0,0,0
21,1,5177,-0.5,0.937,True,5132,jardin_botanique,ANQ493,-1.396,1.294,10,1,1,8.485,1.268,18.279,27.673,37.017,-10,-20,-30,9.519,-1.413,1.283,0,single_pore,0,21718,0,211.53,2.64,0,1,10,-175,2,8017,0,72.67,38.5,40044,0.0,0,7360,0,0,0,0
22,1,3292,-0.31,0.916,True,9493,jardin_botanique,ANQ493,-0.74,1.31,10,1,1,8.919,1.302,18.37,27.545,36.689,-10,-20,-30,10.061,-0.678,1.323,0,single_pore,0,28069,0,210.35,2.54,0,1,10,-175,2,0,0,,,40854,0.0,393,2423,0,0,0,0
23,1,4773,0.06,0.966,True,3407,jardin_botanique,ANQ493,-0.362,1.35,10,1,1,9.801,1.341,19.707,29.359,39.017,-10,-20,-30,10.41,-0.396,1.327,0,single_pore,0,22452,0,222.58,2.2,0,1,10,-175,2,0,0,,,30632,0.0,148,12635,0,0,0,0
24,1,0,-0.97,0.012,False,0,jardin_botanique,ANQ493,-0.708,1.322,10,0,0,-0.886,1.327,-1.046,-1.118,-1.287,-10,-20,-30,70.572,-0.697,1.313,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44365
25,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
26,1,0,-0.06,1.021,True,376,jardin_botanique,ANQ493,-0.679,1.432,10,1,1,10.141,1.437,20.868,31.084,41.294,-10,-20,-30,10.434,-0.574,1.465,0,single_pore,0,42529,0,233.73,2.21,0,1,10,-175,2,0,0,,,42905,0.0,0,4073,0,0,0,0
27,1,1954,-1.58,1.013,True,3177,jardin_botanique,ANQ493,-1.425,1.349,10,1,1,9.307,1.35,19.649,29.857,39.907,-10,-20,-30,9.424,-1.424,1.346,0,single_pore,0,20387,0,228.91,2.2,0,1,10,-175,2,0,8126,,,25518,0.0,0,10383,0,0,0,0
28,1,1046,0.39,0.966,True,2804,jardin_botanique,ANQ493,0.135,1.335,10,1,1,9.302,1.322,19.446,29.089,38.771,-10,-20,-30,10.118,-0.96,1.339,0,single_pore,0,29721,0,216.92,2.24,0,1,10,-175,2,0,0,,,33571,0.0,0,11021,0,0,0,0
29,1,0,1.78,1.959,False,0,jardin_botanique,ANQ493,-1.509,1.372,10,0,0,19.07,1.412,39.169,58.672,78.353,-10,-20,-30,9.977,-1.404,1.344,15954,multiple,0,20391,0,241.41,3.65,0,1,10,-175,2,0,0,,,0,0.0,30,893,0,0,10243,0
30,1,575,1.33,0.944,True,2973,jardin_botanique,ANQ493,-1.032,1.279,10,1,1,8.997,1.268,18.84,28.215,37.723,-10,-20,-30,9.93,-1.055,1.295,0,single_pore,0,39509,0,209.15,2.27,0,1,10,-175,2,0,0,,,43057,0.0,0,753,0,0,0,0
31,1,0,3.05,1.022,True,0,jardin_botanique,ANQ493,-1.8,1.286,10,1,1,9.042,1.316,19.749,29.813,40.182,-10,-20,-30,9.279,-1.846,1.332,0,single_pore,0,14002,0,226.46,2.31,0,1,10,-175,2,0,0,,,14002,0.0,0,21865,0,0,0,0
32,1,6960,-1.85,0.969,True,5297,jardin_botanique,ANQ493,-0.412,1.333,10,1,1,9.674,1.328,19.579,29.365,38.966,-10,-20,-30,10.229,-0.373,1.337,0,single_pore,0,21482,0,221.71,2.64,0,1,10,-175,2,0,0,,,33739,0.0,0,12482,0,0,0,0
33,1,2787,-6.72,0.901,True,8019,jardin_botanique,ANQ493,-2.662,1.326,10,1,1,6.873,1.298,16.481,25.828,34.503,-10,-20,-30,8.401,-2.718,1.337,0,single_pore,0,6147,0,169.45,3.51,0,1,10,-175,2,0,0,,,16953,0.0,48,23823,0,0,0,4032
34,1,0,-1.11,2.348,False,0,jardin_botanique,ANQ493,-3.159,1.32,10,0,0,22.244,1.671,47.312,70.852,94.281,-10,-20,-30,10.154,-3.23,1.306,23667,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,233,7042,0,0,12812,0
35,1,0,0.04,0.013,False,0,jardin_botanique,ANQ493,-0.947,1.334,10,0,0,-1.139,1.311,-1.205,-1.332,-1.455,-10,-20,-30,86.444,-0.906,1.289,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44365
36,1,0,0.19,0.015,False,0,jardin_botanique,ANQ493,-0.599,1.309,10,0,0,-0.848,1.275,-0.925,-1.086,-1.228,-10,-20,-30,51.172,-0.643,1.335,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44813
37,1,1815,-6.28,0.851,True,2901,jardin_botanique,ANQ493,-3.526,1.393,10,0,0,5.721,1.39,15.091,23.915,32.111,-10,-20,-30,7.844,-3.571,1.369,0,unavailable,0,182,0,161.19,3.95,0,1,10,-175,2,0,0,,,4898,0.0,16,31780,0,0,0,0
38,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
39,1,547,0.44,0.975,True,6578,jardin_botanique,ANQ493,-0.678,1.465,10,1,1,9.5,1.465,19.708,29.437,39.21,-10,-20,-30,10.204,-0.67,1.47,0,single_pore,0,22134,0,223.12,2.51,0,1,10,-175,2,2883,0,75.73,30.8,32142,0.0,0,12964,0,0,0,0
40,1,0,2.02,1.029,True,0,jardin_botanique,ANQ493,-1.669,1.34,10,1,1,9.117,1.313,19.325,29.515,39.907,-10,-20,-30,8.745,-1.674,1.331,0,single_pore,0,16386,0,234.92,2.05,0,1,10,-175,2,0,0,,,16386,0.0,155,30090,0,0,0,0
41,1,5275,-0.98,0.443,False,3899,jardin_botanique,ANQ493,-1.119,1.431,10,1,1,2.288,1.548,7.37,11.851,16.234,-10,-20,-30,6.665,-2.785,1.501,0,single_pore,0,16143,0,227.64,2.46,0,1,10,-175,2,10143,0,80.08,36.1,35460,0.0,0,9382,0,0,0,0
42,1,0,-3.05,0.918,True,382,jardin_botanique,ANQ493,-1.446,1.31,10,1,1,8.478,1.308,18.246,27.579,36.607,-10,-20,-30,9.927,-1.474,1.336,0,single_pore,0,33413,0,201.91,2.39,0,1,10,-175,2,0,0,,,33795,0.0,0,11032,0,0,0,0
43,1,0,8.19,0.786,True,0,jardin_botanique,ANQ493,-1.445,1.381,10,0,0,6.608,1.429,14.436,21.891,30.165,-10,-20,-30,8.157,-1.399,1.363,0,unavailable,0,0,0,,,0,1,10,-175,2,4017,0,148.96,20.4,4017,0.0,0,31167,0,0,0,0
44,1,571,-1.95,0.879,True,16121,jardin_botanique,ANQ493,-1.069,1.304,10,1,1,8.484,1.36,17.633,26.524,35.22,-10,-20,-30,10.088,-1.01,1.32,0,single_pore,0,1047,0,206.3,3.59,0,1,10,-175,2,0,0,,,17739,0.0,2448,14961,0,0,0,0
45,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
46,1,484,7.26,0.693,True,3251,jardin_botanique,ANQ493,-0.637,1.294,10,1,1,8.073,1.379,18.153,24.718,32.009,-10,-20,-30,15.995,-0.583,1.278,0,single_pore,0,15998,0,205.07,3.88,0,1,10,-175,2,0,0,,,19733,0.0,0,23851,0,0,0,0
47,1,0,0.47,0.018,False,0,jardin_botanique,ANQ493,-0.558,1.207,10,0,0,-0.774,1.199,-0.878,-1.077,-1.229,-10,-20,-30,40.116,-0.606,1.185,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44364
48,1,4344,0.93,0.931,True,6288,jardin_botanique,ANQ493,-0.993,1.334,10,1,1,8.656,1.353,18.551,27.814,37.17,-10,-20,-30,9.91,-0.982,1.299,0,single_pore,0,16556,0,212.28,2.91,0,1,10,-175,2,1857,0,73.55,36.1,29045,0.0,45,14831,0,0,0,0
49,1,8992,0.07,0.943,True,8436,jardin_botanique,ANQ493,-0.786,1.357,10,1,1,8.958,1.328,18.071,27.497,36.93,-10,-20,-30,9.163,-0.76,1.346,0,single_pore,0,18126,0,214.97,2.66,0,1,10,-175,2,4448,0,80.7,27.3,40002,0.0,18,6820,0,0,0,0
50,1,0,0.03,0.011,False,0,jardin_botanique,ANQ493,-1.933,0.855,10,0,0,-2.051,0.842,-2.184,-2.299,-2.411,-10,-20,-30,182.455,-1.937,0.865,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,40320
51,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
52,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
53,1,2141,0.17,0.985,True,3410,jardin_botanique,ANQ493,-1.943,1.393,10,1,1,8.336,1.374,18.499,28.344,38.206,-10,-20,-30,8.771,-1.899,1.388,0,single_pore,0,29695,0,221.56,2.29,0,1,10,-175,2,0,0,,,35246,0.0,18,11801,0,0,0,0
54,1,361,-3.37,0.971,True,791,jardin_botanique,ANQ493,-0.901,1.41,10,1,1,9.267,1.396,19.379,29.259,38.802,-10,-20,-30,10.01,-0.986,1.403,0,single_pore,0,46305,0,217.67,2.32,0,1,10,-175,2,0,0,,,47457,0.0,21,21,0,0,0,0
55,1,0,-0.03,0.921,True,1285,jardin_botanique,ANQ493,-1.719,1.31,10,1,1,8.118,1.311,17.88,27.088,36.293,-10,-20,-30,9.422,-1.739,1.306,0,single_pore,0,26035,0,210.58,2.5,0,1,10,-175,2,5851,0,73.75,28.6,33171,0.0,0,13863,0,0,0,0
56,1,3021,1.47,0.97,True,5553,jardin_botanique,ANQ493,-1.299,1.308,10,1,1,8.907,1.301,18.985,28.611,38.384,-10,-20,-30,9.547,-1.274,1.328,0,single_pore,0,20177,0,223.06,2.47,0,1,10,-175,2,0,0,,,28751,0.0,99,13881,0,0,0,0
57,1,1501,0.62,0.986,True,8409,jardin_botanique,ANQ493,-1.313,1.317,10,1,1,8.615,1.303,19.47,29.297,39.186,-10,-20,-30,9.74,-1.337,1.282,0,single_pore,0,22520,0,220.28,2.57,0,1,10,-175,2,0,2409,,,32430,0.0,58,10822,0,0,0,0
58,1,3479,3.14,0.975,True,4026,jardin_botanique,ANQ493,-0.648,1.29,10,1,1,9.461,1.578,19.016,28.609,38.516,-10,-20,-30,9.447,-0.704,1.314,0,single_pore,0,14061,0,213.09,4.41,0,1,10,-175,2,0,0,,,21566,0.0,0,22069,0,0,0,0
59,1,0,-6.7,0.842,True,0,jardin_botanique,ANQ493,-1.875,1.298,10,1,1,7.134,1.342,15.9,24.66,32.75,-10,-20,-30,8.99,-1.809,1.265,0,single_pore,0,16117,0,176.31,4.0,0,1,10,-175,2,0,0,,,16117,0.0,119,28792,0,0,0,0
60,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
61,1,3523,-2.19,0.945,True,7423,jardin_botanique,ANQ493,-1.142,1.418,10,1,1,8.442,1.303,18.11,27.666,37.003,-10,-20,-30,9.208,-1.127,1.399,0,single_pore,0,22526,0,211.95,2.63,0,1,10,-175,2,0,0,,,33472,0.0,23,12079,0,0,0,0
62,1,0,-0.49,0.018,False,0,jardin_botanique,ANQ493,-0.919,1.289,10,0,0,-1.094,1.308,-1.247,-1.405,-1.612,-10,-20,-30,57.416,-0.894,1.317,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44365
63,1,0,-0.06,0.011,False,0,jardin_botanique,ANQ493,-2.215,0.931,10,0,0,-2.429,0.915,-2.522,-2.624,-2.732,-10,-20,-30,230.027,-2.283,0.889,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44352
64,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
65,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
66,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
67,1,0,0.27,0.01,False,0,jardin_botanique,ANQ493,-1.483,0.893,10,0,0,-1.58,0.893,-1.676,-1.791,-1.879,-10,-20,-30,154.537,-1.482,0.865,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44352
68,1,1201,0.33,0.959,True,2191,jardin_botanique,ANQ493,-0.997,1.411,10,1,1,8.982,1.427,18.753,28.326,37.932,-10,-20,-30,9.55,-1.024,1.44,0,single_pore,0,4696,0,216.6,2.9,0,1,10,-175,2,4020,32631,70.64,21.9,12108,0.0,0,967,0,0,0,0
69,1,5223,-1.83,0.979,True,3967,jardin_botanique,ANQ493,-0.971,1.286,10,1,1,9.106,1.276,19.054,28.931,38.625,-10,-20,-30,9.502,-0.974,1.311,0,single_pore,0,19700,0,218.96,2.42,0,1,10,-175,2,2530,0,75.86,40.7,31420,0.0,0,11879,0,0,122,0
70,1,3730,-0.98,0.962,True,9912,jardin_botanique,ANQ493,-1.567,1.33,10,1,1,8.441,1.311,18.243,27.91,37.479,-10,-20,-30,8.984,-1.63,1.287,0,single_pore,0,15625,0,216.19,2.74,0,1,10,-175,2,4325,0,73.16,27.2,33592,0.0,0,10144,0,0,0,0
71,1,0,-0.22,0.012,False,0,jardin_botanique,ANQ493,-0.819,1.053,10,0,0,-0.97,1.022,-1.06,-1.174,-1.31,-10,-20,-30,74.263,-0.798,1.051,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44365
72,1,0,-0.06,0.01,False,0,jardin_botanique,ANQ493,-1.108,0.827,10,0,0,-1.218,0.823,-1.321,-1.413,-1.511,-10,-20,-30,128.898,-1.123,0.816,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44352
73,1,1952,0.42,0.925,True,2047,jardin_botanique,ANQ493,-0.831,1.315,10,1,1,8.869,1.297,18.396,27.624,36.894,-10,-20,-30,9.882,-0.878,1.313,0,single_pore,0,39026,0,206.78,2.94,0,1,10,-175,2,0,0,,,43025,0.0,0,929,0,0,0,0
74,1,1162,-0.25,0.92,True,2061,jardin_botanique,ANQ493,-0.762,1.26,10,1,1,8.993,1.27,18.421,27.634,36.822,-10,-20,-30,10.026,-0.765,1.317,0,single_pore,0,38337,0,209.62,2.13,0,1,10,-175,2,0,0,,,41560,0.0,7,4170,0,0,0,0
75,1,451,-1.47,0.95,True,3428,jardin_botanique,ANQ493,-0.596,1.354,10,1,1,9.322,1.307,19.177,28.754,38.184,-10,-20,-30,10.204,-0.615,1.333,0,single_pore,0,14800,0,214.49,2.53,0,1,10,-175,2,3443,2028,77.41,36.9,22122,0.0,25,20580,0,0,0,0
76,1,7539,7.69,0.91,True,2764,jardin_botanique,ANQ493,-1.702,1.357,10,1,1,8.145,1.371,18.591,27.305,36.788,-10,-20,-30,10.274,-1.654,1.368,0,single_pore,0,12570,0,213.22,2.89,0,1,10,-175,2,9610,0,77.39,33.8,32483,0.0,16,10384,0,0,0,0
77,1,3378,-0.67,1.037,True,6970,jardin_botanique,ANQ493,-0.899,1.473,10,1,1,9.946,1.433,20.332,30.733,41.067,-10,-20,-30,9.622,-0.845,1.455,0,single_pore,0,21903,0,235.24,2.27,0,1,10,-175,2,9003,0,82.18,37.1,41254,0.0,0,2438,0,0,0,0
78,1,453,0.75,1.006,True,5417,jardin_botanique,ANQ493,-1.757,1.399,10,1,1,8.643,1.399,19.014,29.032,39.125,-10,-20,-30,8.896,-1.678,1.416,0,single_pore,0,20212,0,225.5,2.32,0,1,10,-175,2,0,4507,,,26082,0.0,0,14553,0,0,0,0
79,1,0,2.48,1.006,True,0,jardin_botanique,ANQ493,-0.777,1.277,10,1,1,9.941,1.288,20.183,30.123,40.311,-10,-20,-30,10.012,-0.721,1.281,0,single_pore,0,45233,0,230.86,2.07,0,1,10,-175,2,0,0,,,45233,0.0,24,0,0,0,0,0
80,1,2937,-2.57,0.727,True,7628,jardin_botanique,ANQ493,-2.522,1.315,10,1,1,5.966,1.326,15.573,22.971,30.112,-10,-20,-30,11.478,-2.975,1.283,0,single_pore,0,7192,0,173.23,2.96,0,1,10,-175,2,0,0,,,17757,0.0,0,21723,0,0,0,4191
81,1,2688,2.45,0.979,True,3285,jardin_botanique,ANQ493,-1.814,1.434,10,1,1,8.082,1.421,17.81,27.479,37.393,-10,-20,-30,8.146,-1.85,1.414,0,single_pore,0,17445,0,221.7,2.51,0,1,10,-175,2,4264,0,77.71,32.8,27682,0.0,0,15074,0,0,0,0
82,1,0,-0.25,0.011,False,0,jardin_botanique,ANQ493,-0.648,0.823,10,0,0,-0.749,0.83,-0.847,-0.945,-1.068,-10,-20,-30,65.908,-0.652,0.835,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44352
83,1,2570,1.11,0.227,False,4681,jardin_botanique,ANQ493,-0.516,1.33,10,1,1,1.129,1.565,5.471,7.684,10.008,-10,-20,-30,14.029,-1.506,1.397,0,single_pore,0,27781,0,215.72,2.36,0,1,10,-175,2,2568,0,76.68,37.1,37600,0.0,32,5874,0,0,0,0
84,1,7252,-1.37,0.981,True,7901,jardin_botanique,ANQ493,-0.795,1.152,10,1,1,9.409,1.169,19.425,29.3,39.038,-10,-20,-30,9.831,-0.838,1.198,0,single_pore,0,24659,0,220.22,2.29,0,1,10,-175,2,3137,0,76.56,33.0,42949,0.0,94,1686,0,0,0,0
85,1,0,0.01,0.011,False,0,jardin_botanique,ANQ493,-0.748,0.877,10,0,0,-0.89,0.889,-0.985,-1.099,-1.212,-10,-20,-30,76.798,-0.753,0.897,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44352
86,1,4366,3.61,0.946,True,7765,jardin_botanique,ANQ493,-0.879,1.383,10,1,1,8.883,1.386,18.626,27.903,37.541,-10,-20,-30,9.627,-0.865,1.365,0,single_pore,0,23211,0,212.65,2.47,0,1,10,-175,2,0,1839,,,35342,0.0,0,6417,0,0,222,0
87,1,2822,-0.16,0.939,True,4798,jardin_botanique,ANQ493,-1.389,1.313,10,1,1,8.232,1.307,17.721,27.123,36.509,-10,-20,-30,8.867,-1.418,1.361,0,single_pore,0,17471,0,210.5,2.6,0,1,10,-175,2,0,0,,,25091,0.0,0,18682,0,0,0,0
88,1,3960,-0.28,0.943,True,6627,jardin_botanique,ANQ493,-1.298,1.363,10,1,1,8.646,1.389,18.389,27.83,37.243,-10,-20,-30,9.512,-1.316,1.397,0,single_pore,0,14721,0,215.38,2.33,0,1,10,-175,2,2699,0,75.14,25.0,28007,0.0,0,15794,0,0,206,0
89,1,0,0.64,0.01,False,0,jardin_botanique,ANQ493,-18.456,0.911,10,0,0,-18.779,0.913,-18.842,-18.971,-19.036,-10,-20,-30,1865.184,-18.53,0.918,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44352
90,1,0,0.06,0.009,False,0,jardin_botanique,ANQ493,-1.064,1.022,10,0,0,-1.187,1.023,-1.277,-1.369,-1.455,-10,-20,-30,133.537,-1.113,1.011,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,40768
91,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
92,1,3195,-2.67,0.996,True,6644,jardin_botanique,ANQ493,-1.248,1.382,10,1,1,9.328,1.355,19.665,29.76,39.588,-10,-20,-30,9.784,-1.185,1.352,0,single_pore,0,22569,0,229.8,2.62,0,1,10,-175,2,4459,0,81.05,37.9,36867,0.0,0,6630,0,0,0,0
93,1,2375,-0.73,1.008,True,2981,jardin_botanique,ANQ493,-0.64,1.368,10,1,1,9.486,1.395,19.89,30.011,40.059,-10,-20,-30,9.735,-0.605,1.354,0,single_pore,0,13874,0,231.49,2.29,0,1,10,-175,2,8449,4005,78.36,34.6,27679,0.0,50,12068,0,0,0,0
94,1,0,0.25,0.01,False,0,jardin_botanique,ANQ493,-1.148,0.87,10,0,0,-1.348,0.872,-1.422,-1.535,-1.623,-10,-20,-30,131.128,-1.236,0.837,0,zero,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,44800
95,1,3008,1.31,1.007,True,10816,jardin_botanique,ANQ493,-0.781,1.355,10,1,1,9.603,1.363,19.723,29.724,39.856,-10,-20,-30,9.571,-0.936,1.367,0,single_pore,0,24539,0,225.74,2.44,0,1,10,-175,2,3623,0,79.63,34.1,41986,0.0,0,2323,0,0,0,0
96,1,2206,0.29,0.97,True,5519,jardin_botanique,ANQ493,-1.288,1.322,10,1,1,8.662,1.299,18.572,28.257,37.971,-10,-20,-30,9.142,-1.247,1.271,0,single_pore,0,14262,0,217.92,2.6,0,1,10,-175,2,2018,0,76.66,33.5,24005,0.0,0,19912,0,0,0,0
