Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
827,123758,65860,57891,0,581569432,28786060,51765546,48815790,581536672
828,123779,65863,57898,0,581671931,28791065,51774546,48819569,581580617
829,123798,65878,57909,0,581774177,28796078,51783562,48829870,581712715
830,123817,65886,57922,0,581850434,28800040,51790687,48838068,581814248
831,123836,65895,57938,0,581934095,28804270,51798291,48846731,581920368
832,123844,65895,57940,0,581974968,28806337,51802009,48847330,581927264
833,123863,65901,57943,0,582071673,28811212,51810777,48851152,581974968
834,123888,65912,57952,0,582197757,28817449,51821993,48859316,582076881
835,123906,65924,57965,0,582279888,28821096,51828548,48869103,582200445
836,123925,65935,57977,0,582392617,28826074,51837502,48877065,582316509
837,123941,65943,57984,0,582466197,28829542,51843739,48883053,582400778
838,123952,65950,57997,0,582528362,28832197,51848513,48890511,582509653
839,123964,65958,58005,0,582580867,28834948,51853459,48896423,582577876
840,123976,65965,58011,0,582633789,28837620,51858262,48900994,582633789
841,123976,65965,58011,0,582633789,28837620,51858262,48900994,582633789
842,123984,65965,58011,0,582667154,28839319,51861316,48900994,582633789
843,123992,65969,58023,0,582706823,28841204,51864707,48907110,582706823
844,124031,65970,58032,0,582899201,28850319,51881098,48911198,582767786
845,124076,65979,58060,0,583158946,28861947,51902014,48924833,582939254
846,124131,65991,58090,0,583462458,28875820,51926963,48942308,583191319
847,124178,66023,58146,0,583718121,28888267,51949351,48977731,583669383
848,124250,66046,58186,0,584131150,28907780,51984450,49006088,584049912
849,124294,66067,58210,0,584340036,28918347,52003453,49024194,584253350
850,124332,66082,58237,0,584537953,28927907,52020645,49041564,584475197
851,124371,66090,58257,0,584727244,28937283,52037508,49052557,584608549
852,124409,66105,58283,0,584924226,28946880,52054770,49068364,584809033
853,124463,66123,58304,0,585180272,28959683,52077796,49084234,585013065
854,124526,66140,58334,0,585524098,28975610,52106435,49102186,585227118
855,124577,66162,58372,0,585781961,28988109,52128912,49125657,585552015
856,124615,66193,58409,0,585968537,28997390,52145606,49153003,585897874
857,124666,66220,58427,0,586251603,29011292,52170608,49172420,586142965
858,124708,66243,58444,0,587117857,29041800,52225508,49220712,587003955
859,124744,66266,58458,0,587298473,29050603,52241341,49235966,587201223
860,124779,66280,58473,0,587480257,29059680,52257663,49247744,587341075
861,124825,66292,58497,0,587743795,29072022,52279863,49263854,587540955
862,124869,66311,58521,0,587955710,29082001,52297811,49281294,587776833
863,124927,66327,58548,0,588236223,29095746,52322528,49297103,587982749
864,124967,66348,58584,0,588448884,29105824,52340653,49319339,588265761
865,125015,66367,58623,0,588681848,29117221,52361151,49341087,588539577
866,125065,66401,58660,0,588972174,29130979,52385896,49370454,588934380
867,125126,66422,58691,0,589298193,29146893,52414515,49393436,589237703
868,125164,66441,58715,0,589488353,29155818,52430567,49409444,589447080
869,125210,66454,58741,0,589756544,29168498,52453375,49426143,589671285
870,125258,66471,58766,0,590009677,29180391,52474764,49443958,589900632
871,125303,66485,58796,0,590235368,29191454,52494660,49461097,590117953
872,125347,66504,58821,0,590448426,29202017,52513656,49478334,590342347
873,125391,66517,58847,0,590644507,29211312,52530372,49492176,590523111
874,125449,66533,58872,0,590928277,29224104,52553375,49506886,590718182
875,125500,66552,58907,0,591158252,29235305,52573520,49524264,590978277
876,125540,66576,58946,0,591367849,29245129,52591186,49546523,591263465
877,125588,66600,58979,0,591623283,29257091,52612699,49569374,591563711
878,125629,66614,59003,0,591815976,29266415,52629467,49584014,591766706
879,125676,66626,59031,0,592059782,29277960,52650230,49598598,591958204
880,125727,66647,59061,0,592333490,29290809,52673337,49619044,592237401
881,125767,66655,59083,0,592542112,29301086,52691816,49630610,592390133
882,125816,66668,59110,0,592800532,29313251,52713695,49646787,592600808
883,125871,66683,59142,0,593048431,29325301,52735362,49665122,592843968
884,125921,66703,59175,0,593317319,29337456,52757220,49683574,593075397
885,125977,66723,59225,0,593584272,29350359,52780423,49711209,593451427
886,126040,66743,59290,0,593911249,29365209,52807130,49742746,593874909
887,126082,66757,59318,0,594137557,29376149,52826804,49760096,594089861
888,126127,66766,59349,0,594351573,29386849,52846046,49775847,594288052
889,126181,66786,59373,0,594641251,29400864,52871251,49794103,594522714
890,126222,66798,59406,0,594870420,29411178,52889799,49813497,594772981
891,126280,66812,59442,0,595146211,29425003,52914665,49832498,595015023
892,126331,66832,59473,0,595411288,29437917,52937890,49853881,595280669
893,126374,66845,59498,0,595653935,29449117,52958032,49869327,595483878
894,126407,66863,59521,0,595821742,29457459,52973033,49885863,595707339
895,126462,66873,59543,0,596098185,29471131,52997624,49898337,595867507
896,126506,66890,59574,0,596335665,29482377,53017849,49917891,596110944
897,126549,66919,59627,0,596555708,29492836,53036658,49949983,596535782
898,126601,66944,59648,0,596791211,29504116,53056940,49967012,596752054
899,126671,66964,59685,0,597150804,29521606,53088397,49987681,597029097
900,126733,66989,59723,0,597438979,29535634,53113621,50012252,597351267
901,126777,67005,59756,0,597628333,29544909,53130296,50028881,597557734
902,126818,67014,59781,0,597836250,29555215,53148832,50041602,597719294
903,126872,67032,59810,0,598115318,29568142,53172077,50061095,597965213
904,126923,67048,59843,0,598416425,29581741,53196534,50079770,598206918
905,126973,67069,59869,0,598699558,29595129,53220610,50098925,598509017
906,127004,67082,59903,0,598852377,29602679,53234189,50118697,598760664
907,127060,67094,59925,0,599124956,29615355,53256986,50131653,598931247
908,127103,67111,59959,0,599375188,29626556,53277133,50150017,599179416
909,127148,67121,59991,0,599614631,29637761,53297285,50166039,599415727
910,127192,67132,60024,0,599819418,29647393,53314608,50183955,599648271
911,127234,67142,60058,0,600019696,29656608,53331176,50199235,599857443
912,127274,67158,60080,0,600236973,29666522,53349007,50211481,600039078
913,127313,67168,60112,0,600432723,29676158,53366337,50227561,600262389
914,127345,67179,60137,0,600626859,29685428,53383008,50242727,600452037
915,127383,67186,60161,0,600834093,29695074,53400355,50256198,600633935
916,127435,67196,60189,0,601123246,29708952,53425318,50271852,600844079
917,127470,67215,60221,0,601296695,29717483,53440657,50294227,601126422
918,127503,67227,60243,0,601462860,29725039,53454245,50307743,601296695
919,127536,67234,60270,0,601654980,29733826,53470050,50320410,601471091
920,127578,67249,60298,0,601867035,29743890,53488148,50336823,601701622
921,127625,67273,60344,0,602106937,29756155,53510206,50364356,602066178
922,127675,67286,60372,0,602375704,29769516,53534235,50381626,602281595
923,127715,67304,60399,0,602566956,29779224,53551692,50400130,602496164
924,127771,67324,60419,0,602831232,29791995,53574658,50415949,602698478
925,127818,67336,60454,0,603041287,29801983,53592619,50434110,602916630
926,127867,67348,60489,0,603334232,29815190,53616370,50451749,603157412
927,127914,67363,60524,0,603614299,29828642,53640564,50472772,603463023
928,127955,67375,60548,0,603867164,29840010,53661011,50488260,603663790
929,128024,67397,60576,0,604232388,29857386,53692261,50512961,603982708
930,128074,67417,60614,0,604478856,29869696,53714399,50534390,604271103
931,128123,67437,60639,0,604770282,29883560,53739331,50552366,604489464
932,128163,67454,60678,0,604986780,29893830,53757799,50575731,604807517
933,128207,67468,60694,0,605177247,29903079,53774428,50587223,604974486
934,128217,67477,60727,0,605247761,29905963,53779615,50602073,605165930
935,128217,67481,60736,0,605247761,29905963,53779615,50607104,605247761
936,128241,67483,60736,0,605388972,29912773,53791863,50608294,605260724
937,128257,67489,60752,0,605478062,29917271,53799952,50618365,605388972
938,128315,67500,60778,0,605815009,29933798,53829679,50635324,605589777
939,128387,67515,60812,0,606183646,29951683,53861839,50657739,605886986
940,128445,67555,60883,0,606488011,29966410,53888324,50701250,606465026
941,128507,67574,60915,0,606782341,29980423,53913520,50718922,606689774
942,128566,67592,60955,0,607092482,29994695,53939183,50740901,606998606
943,128620,67608,60984,0,607378034,30008241,53963546,50757520,607222309
944,128674,67620,61011,0,607649058,30020973,53986448,50772733,607438854
945,128722,67638,61044,0,607899117,30032599,54007356,50790947,607681280
946,128773,67658,61108,0,608144635,30044225,54028264,50822062,608110842
947,128841,67678,61148,0,608466648,30060341,54057248,50845080,608390962
948,128900,67697,61183,0,608742337,30074188,54082150,50866109,608646625
949,128969,67708,61221,0,609084296,30091196,54112737,50885699,608894349
950,129014,67721,61256,0,609309465,30101715,54131653,50903592,609120210
951,129061,67736,61286,0,609566216,30113620,54153063,50921104,609363411
952,129114,67755,61324,0,609879851,30128004,54178932,50944109,609679116
953,129151,67779,61366,0,610069189,30137356,54195752,50970733,610042719
954,129194,67787,61397,0,610312200,30148862,54216448,50987380,610259337
955,129249,67805,61435,0,610568219,30161310,54238829,51007171,610511446
956,129296,67817,61460,0,610873262,30173829,54261344,51021888,610774848
957,129335,67832,61487,0,611084894,30183878,54279420,51037566,610981537
958,129388,67844,61513,0,611353339,30196837,54302725,51052959,611189654
959,129429,67854,61553,0,611575056,30206840,54320711,51072536,611465309
960,129474,67871,61577,0,611796747,30217670,54340189,51087814,611676786
961,129510,67878,61604,0,611997974,30226793,54356596,51101027,611830404
962,129551,67888,61633,0,612207655,30236130,54373385,51115174,612046836
963,129605,67897,61663,0,612497387,30249175,54396845,51129142,612260278
964,129656,67907,61700,0,612780173,30262027,54419959,51146179,612508346
965,129706,67924,61776,0,613042455,30274866,54443047,51183944,613014356
966,129753,67935,61808,0,613299012,30286253,54463527,51200701,613238608
967,129813,67944,61850,0,613666560,30303325,54494234,51221940,613546492
968,129863,67959,61878,0,613935135,30316060,54517131,51239382,613780037
969,129907,67969,61921,0,614156020,30326633,54536146,51260986,614065176
970,129951,67976,61949,0,614387033,30337335,54555392,51274196,614234210
971,130007,67985,61986,0,614684057,30350758,54579528,51292544,614497365
972,130050,67997,62023,0,614910182,30361370,54598613,51311731,614752562
973,130093,68006,62050,0,615146505,30372186,54618065,51325378,614954513
974,130140,68015,62082,0,615409687,30384817,54640777,51340873,615164767
975,130179,68026,62114,0,615614402,30394612,54658388,51359822,615409687
976,130219,68033,62166,0,615834059,30404777,54676669,51383800,615727194
977,130265,68051,62209,0,616074380,30415867,54696612,51407303,616053273
978,130311,68066,62238,0,616304369,30426813,54716299,51424680,616279639
979,130369,68078,62272,0,616669539,30443448,54746219,51445189,616572413
980,130411,68096,62301,0,616917985,30454180,54765518,51462061,616834178
981,130452,68104,62326,0,617125268,30463281,54781883,51474529,617008020
982,130499,68106,62364,0,617400291,30475707,54804229,51488305,617220104
983,130555,68119,62399,0,617672260,30488411,54827074,51508439,617502348
984,130599,68131,62442,0,617897257,30498650,54845487,51528585,617774600
985,130634,68137,62470,0,618071009,30506571,54859729,51540672,617945426
986,130680,68150,62495,0,618322908,30518374,54880956,51554688,618143792
987,130711,68163,62524,0,618478442,30526155,54894947,51571350,618356820
988,130745,68166,62546,0,618663895,30534582,54910100,51581536,618486818
989,130785,68177,62574,0,618882326,30545197,54929191,51595667,618691685
990,130825,68191,62627,0,619090991,30554610,54946116,51622621,619054474
991,130869,68201,62659,0,619352239,30566537,54967564,51640664,619311152
992,130912,68208,62688,0,619571319,30576856,54986119,51653491,619484329
993,130958,68218,62726,0,619826482,30588405,55006890,51671878,619742366
994,130997,68227,62753,0,620025147,30597684,55023578,51685211,619932430
995,131037,68234,62775,0,620268238,30608687,55043365,51698009,620102261
996,131082,68242,62820,0,620500321,30619564,55062923,51719384,620389917
997,131130,68248,62852,0,620740274,30631073,55083619,51733473,620580215
998,131178,68257,62892,0,620962949,30641649,55102637,51752025,620825411
999,131220,68264,62928,0,621155498,30650871,55119224,51767050,621017184
1000,131275,68273,62951,0,621427814,30663523,55141973,51778528,621173901
1001,131314,68280,63008,0,621619969,30672765,55158596,51801736,621486915
1002,131360,68291,63061,0,621841644,30683441,55177795,51826161,621803001
1003,131411,68302,63100,0,622124032,30696701,55201642,51846061,622080108
1004,131454,68313,63132,0,622348866,30707214,55220550,51861580,622302203
1005,131494,68320,63165,0,622547579,30716501,55237250,51875244,622491066
1006,131540,68329,63196,0,622777876,30727487,55257006,51891020,622694177
1007,131594,68339,63236,0,623076685,30740691,55280755,51911129,622993439
1008,131644,68344,63275,0,623307010,30751614,55300397,51924774,623181210
1009,131691,68354,63309,0,623556492,30763200,55321230,51940784,623396327
1010,131736,68363,63350,0,623758091,30772419,55337804,51959713,623663454
1011,131781,68372,63381,0,623964304,30781540,55354205,51971974,623832279
1012,131829,68386,63413,0,624218534,30793273,55375307,51986304,624052671
1013,131872,68397,63446,0,624433158,30804074,55394734,52003425,624280694
1014,131903,68409,63476,0,624617678,30812277,55409490,52020408,624504538
1015,131944,68415,63501,0,624856060,30823003,55428780,52033051,624695352
1016,131987,68424,63534,0,625080455,30833351,55447387,52049399,624932541
1017,132018,68430,63572,0,625228972,30840645,55460506,52066124,625153308
1018,132052,68436,63589,0,625403594,30848718,55475021,52074761,625269730
1019,132098,68444,63624,0,625654467,30860655,55496487,52091467,625495787
1020,132131,68452,63651,0,625850206,30869562,55512504,52104919,625676364
1021,132168,68457,63683,0,626031759,30878534,55528638,52119847,625887992
1022,132203,68462,63711,0,626207086,30886481,55542930,52133340,626067532
1023,132237,68468,63743,0,626402654,30895576,55559288,52146782,626246537
1024,132270,68475,63764,0,626571299,30903288,55573160,52158572,626415753
1025,132310,68482,63797,0,626812484,30914332,55593023,52174152,626630919
1026,132339,68488,63832,0,626977615,30921569,55606036,52191215,626853227
1027,132370,68491,63859,0,627127006,30928650,55618770,52202333,627027568
1028,132370,68494,63876,0,627127006,30928650,55618770,52210278,627127006
1029,132377,68494,63876,0,627158460,30929939,55621088,52210278,627127006
1030,132378,68495,63883,0,627162310,30930129,55621430,52212469,627162310
1031,132406,68506,63897,0,627309852,30937262,55634256,52222504,627293359
1032,132423,68513,63908,0,627401819,30941831,55642473,52230263,627391632
1033,132451,68513,63908,0,627554964,30948806,55655016,52230263,627391632
1034,132466,68526,63925,0,627630035,30952322,55661339,52241920,627554964
1035,132479,68530,63938,0,627695670,30955465,55666992,52248410,627644328
1036,132500,68536,63947,0,627798803,30960355,55675783,52253924,627717592
1037,132523,68544,63965,0,627899045,30965126,55684362,52262176,627837509
1038,132530,68552,63977,0,627929971,30966724,55687235,52269228,627923777
1039,132544,68556,63983,0,628011940,30970697,55694381,52273569,627982995
1040,132563,68566,63995,0,628112702,30975603,55703205,52282683,628098166
1041,132587,68575,64006,0,628245079,30981733,55714228,52290909,628212670
1042,132616,68582,64029,0,628381167,30988008,55725512,52301489,628355317
1043,132630,68583,64031,0,628459455,30991735,55732216,52302514,628373170
1044,132663,68587,64043,0,628618677,30999457,55746103,52308968,628459455
1045,132683,68598,64068,0,628702513,31003724,55753775,52322316,628630866
1046,132707,68611,64079,0,628829723,31009907,55764893,52331201,628742493
1047,132728,68615,64096,0,628928354,31014932,55773931,52339887,628847712
1048,132745,68623,64111,0,629034645,31019796,55782679,52350025,628971925
1049,132761,68626,64126,0,629120146,31023968,55790182,52357523,629073673
1050,132776,68635,64133,0,629189306,31027338,55796243,52363630,629153893
1051,132791,68641,64146,0,629271553,31031408,55803563,52370893,629253359
1052,132814,68645,64167,0,629365351,31035886,55811616,52379028,629357417
1053,132828,68645,64167,0,629419474,31038633,55816554,52379028,629357417
1054,132846,68648,64181,0,629507961,31042903,55824234,52384309,629423158
1055,132862,68656,64195,0,629593697,31047122,55831822,52392724,629528354
1056,132885,68666,64207,0,629714405,31052642,55841748,52401761,629652331
1057,132897,68669,64227,0,629792045,31056386,55848484,52411877,629786525
1058,132905,68671,64231,0,629833621,31058459,55852212,52414670,629822679
1059,132921,68682,64237,0,629909956,31062078,55858720,52420520,629905099
1060,132930,68682,64237,0,629945604,31063890,55861978,52420520,629905099
1061,132946,68684,64249,0,630051790,31068963,55871103,52425265,629960700
1062,132952,68688,64260,0,630085801,31070575,55874002,52432328,630065534
1063,132958,68689,64267,0,630120053,31072365,55877222,52435724,630105573
1064,132967,68692,64275,0,630170913,31074998,55881957,52441470,630170913
1065,132979,68692,64275,0,630234517,31078208,55887730,52441470,630170913
1066,132986,68694,64286,0,630263471,31079697,55890408,52446726,630241594
1067,132995,68694,64296,0,630303388,31081599,55893830,52450105,630283140
1068,133002,68694,64305,0,630336347,31083287,55896866,52453294,630322628
1069,133007,68695,64310,0,630369336,31084832,55899646,52455799,630359084
1070,133021,68695,64310,0,630436170,31088199,55905702,52455799,630359084
1071,133030,68699,64324,0,630476576,31090070,55909065,52462426,630442843
1072,133032,68701,64329,0,630487302,31090603,55910024,52464716,630476576
1073,133046,68703,64336,0,630556906,31093978,55916094,52467990,630521784
1074,133054,68705,64348,0,630602413,31096021,55919767,52473050,630592325
1075,133062,68705,64348,0,630637955,31097596,55922600,52473050,630592325
1076,133074,68706,64356,0,630706784,31100823,55928402,52476476,630637955
1077,133091,68714,64366,0,630792724,31105074,55936048,52483573,630736588
1078,133101,68722,64374,0,630843093,31107471,55940358,52489784,630816393
1079,133112,68728,64378,0,630893172,31109835,55944609,52493247,630862910
1080,133133,68731,64394,0,631008385,31115123,55954120,52500452,630966542
1081,133146,68731,64413,0,631085424,31118998,55961090,52508480,631069790
1082,133161,68731,64413,0,631172354,31122842,55968002,52508480,631069790
1083,133175,68735,64427,0,631234725,31125834,55973381,52516613,631177367
1084,133186,68738,64441,0,631285051,31128270,55977763,52521818,631251145
1085,133202,68740,64451,0,631359585,31132036,55984537,52526104,631304380
1086,133218,68743,64468,0,631441299,31136025,55991712,52534415,631409653
1087,133230,68747,64479,0,631515502,31139600,55998144,52540050,631485017
1088,133246,68751,64491,0,631616110,31143930,56005932,52547271,631591385
1089,133262,68751,64491,0,631705227,31148350,56013882,52547271,631591385
1090,133275,68754,64508,0,631770832,31151457,56019469,52555983,631705227
1091,133287,68756,64522,0,631848911,31155062,56025953,52561656,631784777
1092,133300,68758,64536,0,631915782,31158299,56031775,52567853,631876788
1093,133317,68758,64553,0,632000512,31162246,56038873,52574505,631969278
1094,133334,68761,64572,0,632086454,31166345,56046243,52583098,632083585
1095,133345,68761,64572,0,632144078,31169110,56051215,52583098,632083585
1096,133360,68761,64584,0,632226736,31173280,56058713,52587698,632144078
1097,133375,68765,64598,0,632307639,31177298,56065939,52595747,632242094
1098,133385,68766,64614,0,632362117,31179667,56070200,52603184,632340044
1099,133390,68766,64623,0,632381240,31180554,56071794,52606026,632376749
1100,133399,68766,64631,0,632429342,31182729,56075705,52608761,632416858
1101,133413,68766,64631,0,632504220,31186234,56082008,52608761,632416858
1102,133427,68767,64648,0,632584520,31189914,56088626,52615958,632516932
1103,133440,68767,64665,0,632639930,31192688,56093613,52622482,632602569
1104,133451,68768,64677,0,632709630,31196160,56099861,52627474,632667470
1105,133461,68769,64690,0,632759831,31198406,56103899,52633850,632748444
1106,133472,68770,64700,0,632811958,31200883,56108354,52637949,632805016
1107,133486,68770,64700,0,632882327,31204335,56114563,52637949,632805016
1108,133502,68772,64715,0,632962460,31208442,56121951,52644250,632886673
1109,133520,68774,64736,0,633066483,31213504,56131056,52653304,633003947
1110,133534,68774,64750,0,633136311,31216908,56137176,52660064,633088703
1111,133545,68776,64764,0,633192999,31219742,56142272,52665666,633159259
1112,133560,68776,64764,0,633270675,31223452,56148944,52665666,633159259
1113,133577,68777,64783,0,633352035,31227518,56156254,52673984,633270675
1114,133585,68779,64799,0,633389014,31229320,56159494,52680803,633358076
1115,133592,68779,64810,0,633424104,31230876,56162292,52684680,633405379
1116,133596,68779,64817,0,633442471,31231749,56163861,52687520,633442471
1117,133599,68779,64820,0,633453593,31232225,56164717,52688340,633453593
1118,133601,68779,64820,0,633467127,31232750,56165662,52688340,633453593
1119,133611,68779,64824,0,633512319,31234770,56169293,52689689,633474126
1120,133622,68780,64834,0,633578166,31237382,56173991,52693325,633521072
1121,133625,68781,64844,0,633595491,31238172,56175411,52698089,633595491
1122,133625,68781,64844,0,633595491,31238172,56175411,52698089,633595491
1123,133630,68781,64844,0,633626339,31239626,56178027,52698089,633595491
1124,133633,68782,64848,0,633637276,31240168,56179001,52700489,633626339
1125,133634,68782,64852,0,633641161,31240387,56179395,52701720,633641161
1126,133638,68782,64852,0,633657662,31241237,56180923,52701720,633641161
1127,133648,68787,64858,0,633714427,31243995,56185883,52705936,633700827
1128,133654,68787,64858,0,633742287,31245330,56188283,52705936,633700827
1129,133664,68792,64863,0,633793179,31247813,56192748,52709758,633748738
1130,133672,68794,64875,0,633832500,31249662,56196072,52714762,633815585
1131,133684,68795,64884,0,633883120,31251885,56200068,52717992,633865983
1132,133693,68799,64892,0,633961957,31255038,56205740,52723248,633954348
1133,133700,68799,64892,0,634022445,31257236,56209694,52723248,633954348
1134,133708,68802,64898,0,634064167,31259304,56213414,52726858,634022445
1135,133714,68804,64907,0,634086754,31260435,56215448,52730832,634078248
1136,133718,68805,64912,0,634108637,31261460,56217291,52732964,634105902
1137,133725,68807,64917,0,634144691,31263248,56220507,52735566,634139416
1138,133734,68807,64917,0,634195292,31265728,56224968,52735566,634139416
1139,133737,68808,64927,0,634207028,31266379,56226139,52740461,634200615
1140,133750,68808,64936,0,634278071,31269877,56232430,52744708,634252219
1141,133752,68808,64943,0,634283614,31270162,56232942,52746599,634280571
1142,133755,68808,64946,0,634298718,31270865,56234206,52747781,634295797
1143,133763,68808,64946,0,634344985,31272671,56237454,52747781,634295797
1144,133772,68809,64954,0,634390435,31274738,56241171,52750797,634344985
1145,133780,68812,64963,0,634438367,31276846,56244963,52754749,634408829
1146,133782,68812,64968,0,634453754,31277368,56245901,52756682,634438367
1147,133786,68812,64972,0,634464822,31277935,56246920,52757692,634459055
1148,133795,68812,64972,0,634512516,31280223,56251034,52757692,634459055
1149,133800,68812,64983,0,634538116,31281543,56253408,52761541,634512516
1150,133805,68814,64988,0,634569001,31283058,56256134,52764207,634544776
1151,133808,68814,64992,0,634587337,31283958,56257753,52766618,634577414
1152,133812,68814,64998,0,634616601,31285458,56260451,52769603,634616601
1153,133820,68814,64998,0,634659555,31287262,56263694,52769603,634616601
1154,133827,68815,65007,0,634701137,31289430,56267593,52773351,634669434
1155,133834,68817,65015,0,634731669,31290831,56270112,52777174,634720284
1156,133841,68817,65020,0,634779266,31293010,56274031,52779468,634754965
1157,133845,68817,65020,0,634795723,31293817,56275482,52779468,634754965
1158,133853,68817,65029,0,634840206,31295775,56279002,52783022,634799874
1159,133859,68817,65039,0,634867813,31297104,56281391,52786810,634856763
1160,133867,68817,65048,0,634920643,31299668,56286003,52790449,634901609
1161,133870,68817,65053,0,634950800,31301191,56288743,52793829,634950800
1162,133873,68817,65053,0,634963557,31301702,56289662,52793829,634950800
1163,133886,68817,65058,0,635035651,31305367,56296253,52795723,634977782
1164,133892,68817,65071,0,635072250,31307141,56299444,52800888,635045506
1165,133895,68817,65078,0,635088712,31307846,56300712,52803994,635088712
1166,133900,68818,65082,0,635106842,31308781,56302393,52805558,635106842
1167,133904,68818,65082,0,635129191,31309784,56304197,52805558,635106842
1168,133912,68818,65088,0,635169159,31311650,56307553,52807699,635138209
1169,133916,68818,65095,0,635194966,31312770,56309567,52810215,635172659
1170,133926,68818,65108,0,635228469,31314406,56312507,52814048,635228469
1171,133934,68818,65108,0,635272356,31316549,56316361,52814048,635228469
1172,133938,68818,65116,0,635288177,31317361,56317821,52817226,635272356
1173,133944,68818,65122,0,635318435,31318772,56320358,52819417,635299585
1174,133948,68818,65127,0,635343264,31319838,56322275,52821016,635324692
1175,133955,68818,65135,0,635394499,31322072,56326291,52824037,635382264
1176,133960,68818,65135,0,635423396,31323573,56328991,52824037,635382264
1177,133965,68818,65142,0,635448361,31324773,56331149,52827347,635423396
1178,133971,68818,65151,0,635492073,31326700,56334615,52831300,635480236
1179,133976,68818,65158,0,635513107,31327606,56336244,52833723,635513107
1180,133982,68818,65163,0,635554644,31329676,56339968,52836287,635546634
1181,133986,68818,65163,0,635574036,31330634,56341690,52836287,635546634
1182,133988,68818,65169,0,635583712,31330982,56342316,52838649,635579715
1183,133991,68818,65172,0,635601319,31331772,56343737,52839901,635595326
1184,133994,68818,65176,0,635625225,31332729,56345459,52841466,635625225
1185,134001,68818,65176,0,635671105,31334670,56348952,52841466,635625225
1186,134006,68818,65183,0,635694270,31335720,56350840,52844191,635671105
1187,134012,68818,65190,0,635732132,31337430,56353915,52846878,635712361
1188,134018,68818,65197,0,635777664,31339174,56357052,52849665,635756955
1189,134024,68818,65206,0,635816351,31340795,56359968,52853025,635816351
1190,134026,68818,65206,0,635824418,31341152,56360610,52853025,635816351
1191,134032,68818,65210,0,635863200,31342818,56363607,52854813,635844151
1192,134034,68818,65216,0,635877760,31343454,56364751,52856891,635877760
1193,134039,68818,65220,0,635911024,31345036,56367597,52859036,635907496
1194,134042,68818,65220,0,635938369,31346275,56369826,52859036,635907496
1195,134044,68818,65224,0,635949233,31346787,56370747,52861018,635938369
1196,134047,68818,65227,0,635973475,31347863,56372683,52862586,635958759
1197,134056,68818,65235,0,636014747,31349709,56376003,52865315,636001568
1198,134060,68818,65240,0,636033263,31350538,56377493,52866824,636024565
1199,134063,68818,65240,0,636043086,31350937,56378210,52866824,636024565
1200,134065,68818,65245,0,636049453,31351224,56378726,52868070,636043086
1201,134068,68818,65249,0,636061525,31351624,56379445,52869019,636058643
1202,134071,68818,65252,0,636086395,31352637,56381267,52870183,636076939
1203,134073,68818,65252,0,636095744,31353049,56382008,52870183,636076939
1204,134073,68818,65255,0,636095744,31353049,56382008,52871153,636095744
1205,134077,68818,65257,0,636119928,31354046,56383800,52871927,636106736
1206,134077,68818,65259,0,636119928,31354046,56383800,52872592,636119928
1207,134078,68818,65260,0,636128553,31354167,56384017,52872857,636128553
1208,134078,68818,65260,0,636128553,31354167,56384017,52872857,636128553
1209,134078,68818,65260,0,636128553,31354167,56384017,52872857,636128553
1210,134078,68818,65260,0,636128553,31354167,56384017,52872857,636128553
1211,134078,68818,65260,0,636128553,31354167,56384017,52872857,636128553
1212,134079,68818,65260,0,636132679,31354292,56384242,52872857,636128553
1213,134079,68818,65261,0,636132679,31354292,56384242,52873053,636132679
1214,134079,68818,65261,0,636132679,31354292,56384242,52873053,636132679
1215,134079,68818,65261,0,636132679,31354292,56384242,52873053,636132679
1216,134083,68819,65263,0,636148828,31355065,56385632,52874037,636145349
1217,134083,68819,65263,0,636148828,31355065,56385632,52874037,636145349
1218,134086,68819,65264,0,636164971,31355688,56386752,52874379,636148828
1219,134087,68819,65267,0,636167862,31355817,56386984,52875557,636164971
1220,134089,68819,65268,0,636174578,31356131,56387549,52875790,636167862
1221,134091,68819,65272,0,636186662,31356570,56388338,52877163,636186662
1222,134093,68819,65272,0,636200563,31357141,56389365,52877163,636186662
1223,134093,68819,65274,0,636200563,31357141,56389365,52878261,636200563
1224,134094,68819,65275,0,636208487,31357487,56389987,52878921,636208487
1225,134096,68819,65277,0,636229071,31358400,56391629,52880529,636229071
1226,134096,68819,65277,0,636229071,31358400,56391629,52880529,636229071
1227,134096,68819,65277,0,636229071,31358400,56391629,52880529,636229071
1228,134096,68819,65277,0,636229071,31358400,56391629,52880529,636229071
1229,134098,68819,65279,0,636251173,31359221,56393106,52882013,636251173
1230,134099,68819,65279,0,636256130,31359428,56393478,52882013,636251173
1231,134100,68819,65281,0,636266407,31359657,56393890,52882767,636266407
1232,134101,68819,65281,0,636269966,31359779,56394109,52882767,636266407
1233,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
1234,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
1235,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
1236,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
1237,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
1238,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
1239,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
1240,134101,68819,65282,0,636269966,31359779,56394109,52882901,636269966
