channel,well,flow_cell_id,experiment_tag,seconds_since_start_of_run,initial_0mv_current_pa,initial_0mv_current_std,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,group_1_adjusted_offset_0mv_mean,group_1_adjusted_offset_0mv_std,scan_running_voltage_mv,scan_offset_voltage_mv,reserve_pore_intercept_median_mv,group_1_offset_voltage_mv,mux_scan_assessment,total_time_active,total_good_samples,pore_median,pore_sd,strand_range,strand_median,include_well,group_order,conductance,intercept,collinear_confidence,conductance_filtered_data,initial_voltage_0_mv,initial_current_0_pa,initial_voltage_1_mv,initial_current_1_pa,initial_voltage_2_mv,initial_current_2_pa,multiple,pore_1,pore,event,adapter,strand,strand2,unavailable,zero,unknown_positive,unknown_negative,unclassed,transition,mux_uncertain,offset_0mv_mean,offset_0mv_std,intercept_adjusted_0mv_current_pa_0mv_mean,intercept_adjusted_0mv_current_pa_0mv_std,scan_number
85,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.963,0.804,-180,5,3.923,5,single_pore,0.0,26642.0,225.55,1.55,0.0,0.0,1,1.0,0.939,4.334,0.28,True,-10,13.467,-20,22.845,-30,32.251,0.0,0.0,13117.0,896.0,12629.0,0.0,8887.0,7238.0,0.0,0.0,0.0,0.0,0.0,0.0,3.818,0.796,-1.303,0.792,1
86,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.528,0.692,-180,5,3.923,5,single_pore,0.0,38065.0,224.97,1.47,0.0,0.0,1,3.0,0.97,3.814,0.19,True,-10,13.405,-20,23.097,-30,32.808,0.0,0.0,18637.0,2093.0,17335.0,0.0,0.0,6438.0,0.0,0.0,0.0,0.0,0.0,0.0,3.472,0.689,-1.826,0.684,1
86,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.962,4.249,-180,5,3.923,5,single_pore,0.0,20449.0,229.26,1.65,35.5,93.52,1,1.0,0.978,4.124,-1.12,True,-10,13.801,-20,23.641,-30,33.369,0.0,0.0,3919.0,1466.0,10482.0,4582.0,8724.0,13986.0,0.0,0.0,0.0,0.0,255.0,0.0,3.88,0.83,-1.353,0.829,1
86,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.202,0.713,-180,5,3.923,5,single_pore,0.0,40827.0,225.59,1.55,0.0,0.0,1,2.0,0.969,4.051,-1.5,True,-10,13.598,-20,23.368,-30,32.988,0.0,0.0,20504.0,2480.0,17843.0,0.0,0.0,1897.0,0.0,0.0,0.0,0.0,0.0,0.0,3.792,0.715,-1.38,0.715,1
86,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-2.576,0.773,-180,5,3.923,5,single_pore,0.0,18279.0,178.09,2.96,0.0,0.0,1,4.0,0.924,2.725,-3.96,True,-10,11.694,-20,21.131,-30,30.172,0.0,0.0,6489.0,2096.0,9694.0,0.0,4027.0,24658.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137,0.76,-2.721,0.79,1
87,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.545,0.778,-180,5,3.923,5,single_pore,0.0,12960.0,228.07,2.39,37.2,95.2,1,1.0,0.964,3.767,-3.2,True,-10,13.215,-20,23.011,-30,32.487,0.0,0.0,5217.0,721.0,2824.0,4198.0,10406.0,20489.0,0.0,0.0,0.0,0.0,0.0,0.0,3.434,0.762,-1.647,0.758,1
87,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.775,3.371,-180,5,3.923,5,unavailable,0.0,133.0,0.0,0.0,0.0,0.0,0,0.0,0.952,4.136,-0.83,True,-10,13.439,-20,22.997,-30,32.472,0.0,0.0,0.0,133.0,0.0,0.0,0.0,30107.0,0.0,0.0,0.0,0.0,195.0,0.0,3.75,0.868,-1.301,0.878,1
87,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,,,-180,5,3.923,5,saturated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.954,3.532,1.13,True,-10,12.931,-20,22.416,-30,32.014,973.0,0.0,0.0,198.0,0.0,0.0,0.0,2979.0,0.0,638.0,0.0,0.0,18.0,0.0,3.261,0.704,-1.761,0.691,1
87,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.658,0.485,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001,-1223.165,0.04,False,-10,-0.638,-20,-0.635,-30,-0.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.658,0.493,-0.651,0.495,1
88,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.506,0.554,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,-247.298,-0.22,False,-10,-0.461,-20,-0.433,-30,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44800.0,0.0,0.0,0.0,0.0,0.0,-0.485,0.576,-0.481,0.568,1
88,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-2.289,3.252,-180,5,3.923,5,single_pore,0.0,25985.0,222.76,1.52,34.9,88.55,1,2.0,0.957,3.71,-0.29,True,-10,13.12,-20,22.708,-30,32.267,0.0,0.0,10175.0,1432.0,4910.0,9468.0,10692.0,7216.0,0.0,0.0,0.0,0.0,0.0,0.0,3.378,0.842,-1.832,0.818,1
88,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.819,0.874,-180,5,3.923,5,single_pore,0.0,34414.0,226.27,2.53,35.7,88.02,1,1.0,0.965,4.299,-0.62,True,-10,13.787,-20,23.467,-30,33.085,0.0,0.0,10707.0,1439.0,10283.0,11985.0,0.0,10252.0,0.0,0.0,0.0,0.0,0.0,0.0,4.053,0.843,-1.062,0.819,1
88,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.487,0.565,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001,-493.598,-0.01,False,-10,-0.46,-20,-0.45,-30,-0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.473,0.572,-0.471,0.569,1
89,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,,,-180,5,3.923,5,saturated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,False,-10,0.0,-20,0.0,-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1
89,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.35,6.661,-180,5,3.923,5,unavailable,0.0,4903.0,0.0,0.0,41.6,89.97,0,0.0,0.621,6.521,-7.41,True,-10,10.163,-20,16.748,-30,22.592,0.0,0.0,0.0,0.0,863.0,4040.0,7648.0,25014.0,0.0,0.0,0.0,0.0,24.0,0.0,4.18,1.237,0.879,1.134,1
89,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,,,-180,5,3.923,5,saturated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,False,-10,0.0,-20,0.0,-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1
89,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.441,0.498,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003,-140.067,-0.13,False,-10,-0.366,-20,-0.332,-30,-0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44800.0,0.0,0.0,0.0,0.0,0.0,-0.428,0.494,-0.437,0.497,1
90,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.796,0.468,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,-449.113,0.02,False,-10,-0.747,-20,-0.731,-30,-0.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.815,0.464,-0.819,0.463,1
90,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.729,0.503,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,180.061,0.25,False,-10,-0.719,-20,-0.733,-30,-0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.717,0.498,-0.733,0.504,1
90,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.602,0.467,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-147.463,0.32,False,-10,-0.566,-20,-0.58,-30,-0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.599,0.465,-0.6,0.474,1
90,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.904,0.447,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-20.0,0.3,False,-10,-0.875,-20,-0.89,-30,-0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.881,0.466,-0.9,0.463,1
91,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.719,0.456,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,-454.315,-0.04,False,-10,-0.671,-20,-0.654,-30,-0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.724,0.463,-0.729,0.46,1
91,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.644,0.538,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005,-119.209,0.15,False,-10,-0.531,-20,-0.49,-30,-0.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.593,0.52,-0.627,0.513,1
91,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.488,0.443,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001,-436.139,0.08,False,-10,-0.447,-20,-0.441,-30,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.472,0.449,-0.483,0.452,1
91,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.739,0.44,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-892.577,0.14,False,-10,-0.707,-20,-0.71,-30,-0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.712,0.442,-0.731,0.438,1
92,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.229,0.432,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003,-67.847,0.11,False,-10,-0.159,-20,-0.137,-30,-0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.42,-0.231,0.422,1
92,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.997,4.453,-180,5,3.923,5,single_pore,0.0,37847.0,230.51,1.61,37.7,94.77,1,2.0,0.97,5.159,-1.74,True,-10,14.671,-20,24.455,-30,34.065,0.0,0.0,24353.0,1173.0,8186.0,4135.0,1386.0,4869.0,0.0,0.0,0.0,0.0,311.0,0.0,4.829,0.826,-0.377,0.804,1
92,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,0.067,0.649,-180,5,3.923,5,single_pore,0.0,27905.0,225.55,2.64,34.7,89.75,1,1.0,0.961,5.398,-0.9,True,-10,14.786,-20,24.443,-30,34.01,0.0,0.0,13964.0,606.0,8266.0,5069.0,8018.0,7669.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.64,-0.22,0.65,1
92,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,,,-180,5,3.923,5,saturated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,False,-10,0.0,-20,0.0,-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1
93,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.792,0.84,-180,5,3.923,5,single_pore,0.0,18754.0,233.74,4.3,34.0,94.9,1,1.0,1.002,4.61,-0.21,True,-10,14.632,-20,24.66,-30,34.667,0.0,0.0,673.0,852.0,11232.0,5997.0,0.0,26790.0,0.0,0.0,0.0,0.0,0.0,0.0,4.302,0.817,-1.13,0.81,1
93,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-3.448,3.171,-180,5,3.923,5,unavailable,0.0,1121.0,175.44,2.74,0.0,0.0,0,0.0,0.872,2.595,-4.72,True,-10,10.915,-20,19.876,-30,28.365,0.0,0.0,502.0,199.0,420.0,0.0,0.0,37317.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.796,-2.957,0.873,1
93,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.489,0.467,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001,-450.928,-0.09,False,-10,-0.451,-20,-0.437,-30,-0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.464,0.473,-0.481,0.471,1
93,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,,,-180,5,3.923,5,saturated,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,False,-10,0.0,-20,0.0,-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1
94,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.399,0.475,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003,-131.125,-0.03,False,-10,-0.346,-20,-0.316,-30,-0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.374,0.477,-0.402,0.466,1
94,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.226,3.046,-180,5,3.923,5,unavailable,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.047,-9.419,-0.03,False,-10,0.027,-20,0.502,-30,0.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34097.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.381,0.719,-0.56,0.717,1
94,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.575,0.76,-180,5,3.923,5,single_pore,0.0,39815.0,224.4,1.61,31.8,93.5,1,1.0,0.958,3.729,-1.1,True,-10,13.129,-20,22.76,-30,32.281,0.0,0.0,16372.0,1746.0,18731.0,2966.0,0.0,2988.0,0.0,0.0,0.0,0.0,10.0,0.0,3.344,0.744,-1.813,0.741,1
94,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.375,0.835,-180,5,3.923,5,single_pore,0.0,34352.0,225.24,2.0,31.6,86.53,1,2.0,0.978,3.545,-0.26,True,-10,13.24,-20,23.031,-30,32.796,0.0,0.0,6176.0,2863.0,8987.0,16326.0,2204.0,8820.0,0.0,0.0,0.0,0.0,0.0,0.0,3.301,0.739,-1.841,0.72,1
95,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.822,0.849,-180,5,3.923,5,unavailable,0.0,9138.0,223.99,2.09,0.0,0.0,0,0.0,0.965,4.389,-1.07,True,-10,13.861,-20,23.56,-30,33.152,0.0,0.0,3056.0,600.0,5482.0,0.0,15887.0,13302.0,0.0,0.0,0.0,0.0,28.0,0.0,4.055,0.842,-1.139,0.846,1
95,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.321,0.549,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008,-36.469,-0.12,False,-10,-0.214,-20,-0.128,-30,-0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.259,0.538,-0.312,0.543,1
95,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.06,0.702,-180,5,3.923,5,single_pore,0.0,28258.0,218.69,1.69,0.0,0.0,1,2.0,0.937,3.948,1.0,True,-10,13.09,-20,22.413,-30,31.836,0.0,0.0,12960.0,720.0,14578.0,0.0,0.0,16306.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696,0.714,-1.241,0.702,1
95,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.616,0.714,-180,5,3.923,5,single_pore,0.0,18992.0,220.18,1.98,0.0,0.0,1,1.0,0.946,4.771,0.59,True,-10,13.99,-20,23.425,-30,32.919,0.0,0.0,5585.0,286.0,13121.0,0.0,0.0,23364.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266,0.703,-0.796,0.679,1
